ID_Registro,Data_Pedido,Numero_Pedido,Cliente,Cidade_Cliente,Estado,Vendedor,Produto,Categoria,Quantidade,Valor_Unitario,Valor_Total,Nota_Satisfacao,Comentario_Satisfacao,Forma_Pagamento,Observacao
83,2025-05-21,PED-1083,Indústria Alpha,Araucária,PR,C. Silva,Furad.,Ferramentas,3,-3247.71,9743.13,10,Neutro,Cartão,
84,09-01-2025,PED-1084,Auto Center Prime,Araucária,PR,Carlos S.,Soldadora,Ferramentas,9,-508.6,4577.4,6,Insatisfeito,PIX,
85,14/01/2025,PED-1085,Metalúrgica Sul,Curitiba,PR,C. Silva,Furad.,Soldagem,26,-1310.75,34079.5,10,Muito Satisfeito,Cartão,
86,25/04/2025,PED-1086,Oficina Curitiba,Araucária,PR,C. Silva,Furad.,Energia,10,-3112.4,31124.0,0,Muito Satisfeito,PIX,
87,01/04/2025,PED-1087,Construtora Paraná,Curitiba,PR,Carlos S.,Soldadora,Soldagem,10,-793.94,7939.4,10,Neutro,Boleto,
88,2025-04-01,PED-1088,Mercado Industrial,Araucária,PR,C. Silva,Furad.,Elétrica,27,-61.71,1666.17,10,Muito Satisfeito,Boleto,
89,2025-05-03,PED-1089,Construtora Paraná,Curitiba,PR,C. Silva,Furad.,Soldagem,24,-4955.82,118939.68,0,Satisfeito,Boleto,
90,2025-02-13,PED-1090,Auto Center Prime,Londrina,PR,Carlos S.,Soldadora,Elétrica,8,-2667.31,21338.48,10,Muito Satisfeito,Cartão,
91,17/05/2025,PED-1091,Cliente XPTO,Ponta Grossa,PR,Carlos S.,Soldadora,Energia,4,-3082.5,12330.0,0,Insatisfeito,Cartão,
92,02-02-2025,PED-1092,Construtora Paraná,Curitiba,PR,Carlos S.,Furad.,Soldagem,16,-2352.01,37632.16,10,Insatisfeito,Boleto,
93,09-04-2025,PED-1093,Mercado Industrial,Londrina,PR,C. Silva,Parafusadeira ,Energia,22,-1960.82,43138.04,0,Neutro,Boleto,
94,25/03/2025,PED-1094,Cliente XPTO,Londrina,PR,Carlos S.,Furad.,Soldagem,16,-3164.89,50638.24,0,Neutro,Boleto,
95,04-01-2025,PED-1095,Construtora Paraná,Curitiba,PR,Carlos S.,Furad.,Ferramentas,7,-4734.72,33143.04,0,Neutro,PIX,
96,23-01-2025,PED-1096,Auto Center Prime,Londrina,PR,Carlos S.,Parafusadeira ,Medição,6,-2594.8,15568.8,0,Insatisfeito,Boleto,
97,06/06/2025,PED-1097,Indústria Alpha,Londrina,PR,C. Silva,Soldadora,Energia,5,-4711.37,23556.85,10,Neutro,Boleto,
98,24-04-2025,PED-1098,Cliente XPTO,Cascavel,PR,C. Silva,Furad.,Energia,14,-4069.28,56969.92,0,Muito Satisfeito,PIX,
99,15-05-2025,PED-1099,Loja Ferramentas BR,Ponta Grossa,PR,Carlos S.,Furad.,Ferramentas,27,-4135.92,111669.84,6,Insatisfeito,Boleto,
100,26/02/2025,PED-1100,Metalúrgica Sul,Cascavel,PR,Carlos S.,Parafusadeira ,Ferramentas,16,-4156.4,66502.4,6,Insatisfeito,Cartão,
101,2025-02-23,PED-1101,Indústria Alpha,Londrina,PR,C. Silva,Parafusadeira ,Energia,6,-2918.04,17508.24,6,Satisfeito,Boleto,
102,23/05/2025,PED-1102,Loja Ferramentas BR,Londrina,PR,Carlos S.,Soldadora,Energia,16,-4147.53,66360.48,6,Neutro,PIX,
103,05-04-2025,PED-1103,Loja Ferramentas BR,Londrina,PR,Carlos S.,Parafusadeira ,Elétrica,9,-4011.01,36099.09,0,Muito Satisfeito,Boleto,
104,2025-03-21,PED-1104,Auto Center Prime,Londrina,PR,C. Silva,Furad.,Soldagem,15,-885.98,13289.7,0,Satisfeito,PIX,
105,02/03/2025,PED-1105,Cliente XPTO,Cascavel,PR,Carlos S.,Furad.,Elétrica,7,-1134.66,7942.62,10,Neutro,PIX,
106,29/05/2025,PED-1106,Metalúrgica Sul,Curitiba,PR,Carlos S.,Furad.,Ferramentas,14,-4432.56,62055.84,0,Neutro,Cartão,
107,05/03/2025,PED-1107,Metalúrgica Sul,Londrina,PR,C. Silva,Parafusadeira ,Medição,15,-4652.47,69787.05,6,Insatisfeito,Boleto,
108,2025-01-19,PED-1108,Auto Center Prime,Araucária,PR,Carlos S.,Parafusadeira ,Soldagem,19,-128.82,2447.58,0,Muito Satisfeito,Boleto,
109,2025-03-19,PED-1109,Auto Center Prime,Araucária,PR,C. Silva,Furad.,Medição,21,-2852.33,59898.93,10,Neutro,Boleto,
110,12/04/2025,PED-1110,Oficina Curitiba,Cascavel,PR,C. Silva,Furad.,Soldagem,1,-326.42,326.42,6,Neutro,Boleto,
111,2025-06-11,PED-1111,Cliente XPTO,Maringá,PR,Carlos S.,Furad.,Ferramentas,4,-3009.26,12037.04,6,Neutro,Boleto,
112,07/06/2025,PED-1112,Auto Center Prime,Cascavel,PR,C. Silva,Furad.,Ferramentas,14,-1322.74,18518.36,10,Neutro,PIX,
113,10/06/2025,PED-1113,Loja Ferramentas BR,Londrina,PR,C. Silva,Furad.,Soldagem,27,-2628.22,70961.94,6,Muito Satisfeito,PIX,
114,01/02/2025,PED-1114,Loja Ferramentas BR,Ponta Grossa,PR,C. Silva,Furad.,Ferramentas,14,-3837.77,53728.78,0,Muito Satisfeito,Boleto,
115,09-02-2025,PED-1115,Indústria Alpha,Cascavel,PR,Carlos S.,Furad.,Medição,19,-3801.06,72220.14,10,Neutro,PIX,
116,30-04-2025,PED-1116,Indústria Alpha,Ponta Grossa,PR,C. Silva,Soldadora,Elétrica,24,-1517.18,36412.32,0,Muito Satisfeito,PIX,
117,10/02/2025,PED-1117,Cliente XPTO,Cascavel,PR,C. Silva,Soldadora,Medição,16,-1379.27,22068.32,10,Neutro,Cartão,
118,2025-06-14,PED-1118,Mercado Industrial,Londrina,PR,Carlos S.,Furad.,Elétrica,21,-1661.82,34898.22,10,Insatisfeito,PIX,
119,2025-03-18,PED-1119,Oficina Curitiba,Ponta Grossa,PR,Carlos S.,Furad.,Energia,2,-4764.03,9528.06,6,Neutro,PIX,
120,21/04/2025,PED-1120,Loja Ferramentas BR,Ponta Grossa,PR,C. Silva,Soldadora,Energia,8,-1073.63,8589.04,6,Muito Satisfeito,PIX,
121,30-05-2025,PED-1121,Construtora Paraná,Londrina,PR,Carlos S.,Furad.,Elétrica,1,-1368.01,1368.01,6,Insatisfeito,Cartão,
122,2025-06-04,PED-1122,Metalúrgica Sul,Londrina,PR,C. Silva,Furad.,Ferramentas,23,-2343.82,53907.86,6,Neutro,Cartão,
123,29-01-2025,PED-1123,Auto Center Prime,Ponta Grossa,PR,C. Silva,Soldadora,Ferramentas,15,-350.79,5261.85,0,Satisfeito,PIX,
124,2025-01-24,PED-1124,Cliente XPTO,Maringá,PR,C. Silva,Furad.,Soldagem,12,-1112.06,13344.72,0,Neutro,Cartão,
125,10/01/2025,PED-1125,Indústria Alpha,Cascavel,PR,C. Silva,Furad.,Elétrica,9,-3186.02,28674.18,10,Insatisfeito,Cartão,
126,28-02-2025,PED-1126,Mercado Industrial,Maringá,PR,Carlos S.,Parafusadeira ,Ferramentas,13,-1402.87,18237.31,6,Insatisfeito,Cartão,
127,2025-02-15,PED-1127,Indústria Alpha,Araucária,PR,Carlos S.,Furad.,Medição,30,-3275.81,98274.3,10,Neutro,Boleto,
128,07/02/2025,PED-1128,Cliente XPTO,Ponta Grossa,PR,C. Silva,Furad.,Soldagem,24,-4385.72,105257.28,0,Satisfeito,Cartão,
129,06/01/2025,PED-1129,Mercado Industrial,Araucária,PR,Carlos S.,Soldadora,Medição,28,-2268.23,63510.44,6,Insatisfeito,Boleto,
130,2025-06-12,PED-1130,Metalúrgica Sul,Curitiba,PR,C. Silva,Furad.,Soldagem,4,-1057.96,4231.84,6,Satisfeito,PIX,
131,11-02-2025,PED-1131,Construtora Paraná,Cascavel,PR,Carlos S.,Furad.,Medição,22,-3470.2,76344.4,0,Satisfeito,Cartão,
132,13/02/2025,PED-1132,Metalúrgica Sul,Cascavel,PR,Carlos S.,Furad.,Energia,20,-4105.58,82111.6,0,Neutro,PIX,
133,16-01-2025,PED-1133,Mercado Industrial,Ponta Grossa,PR,C. Silva,Parafusadeira ,Ferramentas,4,-1826.4,7305.6,6,Insatisfeito,Boleto,
134,15/02/2025,PED-1134,Cliente XPTO,Londrina,PR,C. Silva,Furad.,Soldagem,26,-233.93,6082.18,10,Insatisfeito,PIX,
135,30/04/2025,PED-1135,Indústria Alpha,Cascavel,PR,C. Silva,Furad.,Ferramentas,15,-3403.12,51046.8,6,Muito Satisfeito,Boleto,
136,10/06/2025,PED-1136,Mercado Industrial,Maringá,PR,Carlos S.,Soldadora,Medição,18,-360.67,6492.06,10,Satisfeito,Cartão,
137,2025-02-03,PED-1137,Indústria Alpha,Curitiba,PR,C. Silva,Parafusadeira ,Energia,7,-4403.73,30826.11,6,Muito Satisfeito,Boleto,
138,24/02/2025,PED-1138,Indústria Alpha,Curitiba,PR,Carlos S.,Soldadora,Energia,11,-453.09,4983.99,0,Muito Satisfeito,PIX,
139,15/03/2025,PED-1139,Loja Ferramentas BR,Ponta Grossa,PR,Carlos S.,Parafusadeira ,Medição,1,-3433.38,3433.38,0,Muito Satisfeito,PIX,
140,02/03/2025,PED-1140,Cliente XPTO,Cascavel,PR,Carlos S.,Soldadora,Soldagem,18,-231.79,4172.22,0,Neutro,PIX,
141,2025-06-29,PED-1141,Metalúrgica Sul,Ponta Grossa,PR,Carlos S.,Soldadora,Ferramentas,3,-4383.36,13150.08,0,Neutro,Boleto,
142,2025-02-27,PED-1142,Construtora Paraná,Curitiba,PR,Carlos S.,Parafusadeira ,Soldagem,28,-236.39,6618.92,6,Muito Satisfeito,PIX,
143,14/04/2025,PED-1143,Cliente XPTO,Ponta Grossa,PR,C. Silva,Soldadora,Soldagem,23,-3941.32,90650.36,10,Neutro,Cartão,
144,06/02/2025,PED-1144,Construtora Paraná,Ponta Grossa,PR,Carlos S.,Furad.,Soldagem,28,-2847.36,79726.08,10,Satisfeito,Cartão,
145,06-02-2025,PED-1145,Loja Ferramentas BR,Araucária,PR,C. Silva,Furad.,Ferramentas,29,-3216.94,93291.26,6,Satisfeito,Cartão,
146,03/02/2025,PED-1146,Auto Center Prime,Cascavel,PR,C. Silva,Furad.,Ferramentas,5,-4074.64,20373.2,10,Satisfeito,Boleto,
147,26-06-2025,PED-1147,Oficina Curitiba,Cascavel,PR,C. Silva,Furad.,Ferramentas,16,-3419.08,54705.28,0,Muito Satisfeito,PIX,
148,31-01-2025,PED-1148,Loja Ferramentas BR,Londrina,PR,Carlos S.,Parafusadeira ,Ferramentas,2,-3667.59,7335.18,10,Muito Satisfeito,Boleto,
149,29-01-2025,PED-1149,Metalúrgica Sul,Cascavel,PR,C. Silva,Furad.,Medição,16,-2110.73,33771.68,6,Neutro,PIX,
150,17-06-2025,PED-1150,Indústria Alpha,Maringá,PR,C. Silva,Furad.,Soldagem,30,-711.81,21354.3,10,Neutro,Boleto,
151,31-03-2025,PED-1151,Indústria Alpha,Curitiba,PR,C. Silva,Furad.,Energia,13,-4543.75,59068.75,0,Insatisfeito,PIX,
152,10/06/2025,PED-1152,Cliente XPTO,Maringá,PR,C. Silva,Soldadora,Soldagem,9,-1476.7,13290.3,10,Neutro,Cartão,
153,2025-05-29,PED-1153,Cliente XPTO,Ponta Grossa,PR,Carlos S.,Soldadora,Ferramentas,25,-1985.78,49644.5,10,Insatisfeito,Boleto,
154,09-01-2025,PED-1154,Mercado Industrial,Maringá,PR,Carlos S.,Soldadora,Medição,14,-4389.0,61446.0,0,Insatisfeito,PIX,
155,2025-06-21,PED-1155,Construtora Paraná,Curitiba,PR,C. Silva,Furad.,Elétrica,6,-3907.74,23446.44,0,Satisfeito,PIX,
156,2025-05-11,PED-1156,Mercado Industrial,Araucária,PR,Carlos S.,Soldadora,Ferramentas,27,-3673.47,99183.69,6,Neutro,PIX,
157,03/02/2025,PED-1157,Metalúrgica Sul,Cascavel,PR,Carlos S.,Furad.,Soldagem,6,-3359.6,20157.6,0,Muito Satisfeito,Boleto,
158,10-03-2025,PED-1158,Loja Ferramentas BR,Londrina,PR,Carlos S.,Soldadora,Medição,13,-948.85,12335.05,10,Neutro,Boleto,
159,2025-02-04,PED-1159,Metalúrgica Sul,Araucária,PR,Carlos S.,Furad.,Medição,28,-753.77,21105.56,0,Insatisfeito,PIX,
160,18-03-2025,PED-1160,Mercado Industrial,Cascavel,PR,C. Silva,Soldadora,Soldagem,15,-2124.6,31869.0,10,Neutro,Boleto,
161,2025-01-06,PED-1161,Construtora Paraná,Cascavel,PR,C. Silva,Soldadora,Elétrica,30,-4598.11,137943.3,6,Satisfeito,Cartão,
162,2025-04-08,PED-1162,Auto Center Prime,Curitiba,PR,C. Silva,Furad.,Ferramentas,11,-4650.65,51157.15,6,Neutro,Boleto,
163,23/01/2025,PED-1163,Metalúrgica Sul,Maringá,PR,C. Silva,Parafusadeira ,Energia,18,-4850.52,87309.36,6,Muito Satisfeito,Cartão,
164,14-03-2025,PED-1164,Oficina Curitiba,Ponta Grossa,PR,Carlos S.,Soldadora,Ferramentas,22,-4095.32,90097.04,0,Insatisfeito,Boleto,
165,15/04/2025,PED-1165,Metalúrgica Sul,Curitiba,PR,C. Silva,Parafusadeira ,Medição,7,-1931.61,13521.27,6,Neutro,Boleto,
166,03-02-2025,PED-1166,Indústria Alpha,Curitiba,PR,C. Silva,Parafusadeira ,Medição,26,-2293.89,59641.14,0,Satisfeito,PIX,
167,2025-02-24,PED-1167,Auto Center Prime,Londrina,PR,Carlos S.,Soldadora,Ferramentas,22,-934.68,20562.96,6,Neutro,Boleto,
168,2025-03-19,PED-1168,Mercado Industrial,Cascavel,PR,Carlos S.,Furad.,Ferramentas,15,-171.17,2567.55,6,Muito Satisfeito,PIX,
169,2025-02-12,PED-1169,Metalúrgica Sul,Maringá,PR,Carlos S.,Parafusadeira ,Medição,7,-936.69,6556.83,0,Muito Satisfeito,PIX,
170,04/06/2025,PED-1170,Loja Ferramentas BR,Maringá,PR,C. Silva,Soldadora,Energia,26,-2337.48,60774.48,0,Muito Satisfeito,PIX,
171,2025-06-02,PED-1171,Auto Center Prime,Ponta Grossa,PR,C. Silva,Soldadora,Elétrica,28,-3946.85,110511.8,10,Insatisfeito,PIX,
172,2025-01-04,PED-1172,Mercado Industrial,Cascavel,PR,C. Silva,Furad.,Energia,20,-2253.16,45063.2,6,Neutro,Cartão,
